Full Tables

Before: '<Cost' = 507.46 (263.1), '>Completion' = 0.85 (0.14), '<Idle' = 0.26 (0.21)
After:
'<Cost' = 1014.45 (512.48), '>Completion' = 0.88 (0.09), '<Idle' = 0.27 (0.21)
'<Cost' = 614.7 (342.09), '>Completion' = 0.86 (0.1), '<Idle' = 0.26 (0.18)
'<Cost' = 389.66 (219.95), '>Completion' = 0.86 (0.13), '<Idle' = 0.26 (0.2)
'<Cost' = 747.97 (318.85), '>Completion' = 0.84 (0.14), '<Idle' = 0.23 (0.21)
'<Cost' = 439.47 (266.62), '>Completion' = 0.85 (0.12), '<Idle' = 0.26 (0.21)
'<Cost' = 818.33 (363.99), '>Completion' = 0.86 (0.11), '<Idle' = 0.29 (0.21)
'<Cost' = 803.56 (350.03), '>Completion' = 0.87 (0.11), '<Idle' = 0.27 (0.21)
'<Cost' = 1393.02 (483.77), '>Completion' = 0.86 (0.11), '<Idle' = 0.27 (0.2)
'<Cost' = 715.42 (325.14), '>Completion' = 0.87 (0.11), '<Idle' = 0.27 (0.18)
'<Cost' = 869.62 (377.55), '>Completion' = 0.89 (0.1), '<Idle' = 0.26 (0.19)
'<Cost' = 673.91 (423.47), '>Completion' = 0.88 (0.11), '<Idle' = 0.27 (0.2)
'<Cost' = 858.54 (395.03), '>Completion' = 0.85 (0.14), '<Idle' = 0.25 (0.21)
'<Cost' = 691.96 (470.62), '>Completion' = 0.87 (0.1), '<Idle' = 0.31 (0.19)
'<Cost' = 996.34 (571.02), '>Completion' = 0.88 (0.09), '<Idle' = 0.3 (0.2)
'<Cost' = 983.77 (486.41), '>Completion' = 0.87 (0.1), '<Idle' = 0.31 (0.22)
'<Cost' = 854.16 (414.88), '>Completion' = 0.86 (0.11), '<Idle' = 0.22 (0.19)
'<Cost' = 651.4 (339.45), '>Completion' = 0.86 (0.11), '<Idle' = 0.25 (0.2)
'<Cost' = 1082.02 (525.69), '>Completion' = 0.9 (0.08), '<Idle' = 0.29 (0.2)
'<Cost' = 1648.22 (645.49), '>Completion' = 0.89 (0.08), '<Idle' = 0.28 (0.2)
'<Cost' = 902.38 (369.74), '>Completion' = 0.86 (0.11), '<Idle' = 0.24 (0.2)

Partial Tables

Before: '<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
After: 
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
'<Cost' = 1046.72 (585.2), '>Completion' = 0.83 (0.1), '<Idle' = 0.22 (0.2)
